checkpoint,layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,sigma_OV_max,sigma_QK_max
0,4,7,113.54373168945312,113.87064361572266,4.789029121398926,4.790641784667969,1.0834006071090698,1.0859978199005127
0,4,8,113.65225982666016,113.78462982177734,4.789647579193115,4.790040493011475,1.0915087461471558,1.0647413730621338
0,4,9,113.51986694335938,113.64562225341797,4.7887444496154785,4.789651870727539,1.0858367681503296,1.100672721862793
0,4,10,113.9138412475586,113.6507568359375,4.790688514709473,4.789557456970215,1.070927381515503,1.0913856029510498
0,4,11,113.44232177734375,113.58162689208984,4.788708686828613,4.7894463539123535,1.1093469858169556,1.0848840475082397
0,4,12,113.75508117675781,113.61984252929688,4.790171146392822,4.789566516876221,1.0870224237442017,1.082120656967163
0,4,13,113.29227447509766,113.70842742919922,4.787781715393066,4.789890289306641,1.0876141786575317,1.081709861755371
0,4,14,113.58027648925781,114.23890686035156,4.7894721031188965,4.792086124420166,1.0912697315216064,1.0710467100143433
0,4,15,113.4919662475586,113.8649673461914,4.78902530670166,4.790403366088867,1.091786503791809,1.074744462966919
0,5,0,114.13343811035156,113.71798706054688,4.791911602020264,4.789764881134033,1.0738999843597412,1.0732240676879883
0,5,1,114.1214370727539,113.4898681640625,4.791826248168945,4.788950443267822,1.0826396942138672,1.0865010023117065
0,5,2,113.9473876953125,113.76849365234375,4.790776252746582,4.790248394012451,1.0637010335922241,1.089720368385315
0,5,3,113.78710174560547,113.78111267089844,4.790159702301025,4.789997577667236,1.0798959732055664,1.0898067951202393
0,5,4,113.9013442993164,113.37137603759766,4.790886402130127,4.78822660446167,1.085997462272644,1.0853312015533447
0,5,5,113.89295959472656,113.81175994873047,4.790760517120361,4.790299892425537,1.0841269493103027,1.0770151615142822
0,5,6,113.35819244384766,113.54769134521484,4.788159370422363,4.7892279624938965,1.08579683303833,1.0858360528945923
0,5,7,113.6387939453125,113.34561920166016,4.789307594299316,4.788064002990723,1.0830163955688477,1.0756795406341553
0,5,8,113.67859649658203,113.73980712890625,4.789959907531738,4.7899675369262695,1.0970075130462646,1.0970720052719116
0,5,9,113.49256134033203,113.49117279052734,4.788853645324707,4.7890753746032715,1.0879406929016113,1.0961307287216187
0,5,10,114.00536346435547,113.60062408447266,4.7913899421691895,4.7892374992370605,1.0764880180358887,1.0713872909545898
0,5,11,113.68153381347656,113.65158081054688,4.789791584014893,4.789557456970215,1.0930557250976562,1.0878417491912842
0,5,12,113.94554138183594,113.42911529541016,4.790924072265625,4.788451671600342,1.0722628831863403,1.0816220045089722
0,5,13,114.08428955078125,113.41138458251953,4.791672706604004,4.788379192352295,1.0733391046524048,1.0765414237976074
0,5,14,113.66122436523438,113.67333221435547,4.789559841156006,4.789768695831299,1.0766596794128418,1.0769364833831787
0,5,15,113.90199279785156,113.73970031738281,4.79107141494751,4.789879322052002,1.0753310918807983,1.0792198181152344
0,6,0,113.58907318115234,113.70428466796875,4.789109230041504,4.789822101593018,1.066346526145935,1.0795013904571533
0,6,1,113.36976623535156,113.5674057006836,4.788330078125,4.789276123046875,1.086787462234497,1.0883729457855225
0,6,2,113.3499755859375,113.9323501586914,4.7881975173950195,4.790923595428467,1.0965570211410522,1.0660743713378906
0,6,3,113.66653442382812,113.75120544433594,4.789647102355957,4.790082931518555,1.0828959941864014,1.0790847539901733
0,6,4,113.4764404296875,113.80946350097656,4.7886962890625,4.790361404418945,1.080442190170288,1.0841953754425049
