checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,type_a,noise_alpha1.0,1,-1,42025,6.826264839172364,7.1102625846862795,-0.04160368110598365,3.082242488861084
512,type_a,noise_alpha1.0,2,-1,42026,6.826264839172364,6.974687576293945,-0.021742891701163006,3.0771384239196777
512,type_a,noise_alpha1.0,3,-1,42027,6.826264839172364,6.9619034385681156,-0.019870105041543785,3.0800278186798096
512,type_a,noise_alpha1.0,4,-1,42028,6.826264839172364,6.887903251647949,-0.00902959582257561,3.0771210193634033
512,type_a,noise_alpha1.0,5,-1,42029,6.826264839172364,6.859923038482666,-0.004930690517185276,3.080307960510254
1000,head,output_zeroing,0,0,-1,4.9413543128967286,4.942499980926514,-0.00023185304214986055,3.0413601398468018
1000,head,output_zeroing,0,3,-1,4.9413543128967286,4.942040367126465,-0.0001388393113089763,3.0423026084899902
1000,head,output_zeroing,0,6,-1,4.9413543128967286,4.941243686676025,2.2387834123611654e-05,3.0458106994628906
1000,head,output_zeroing,0,9,-1,4.9413543128967286,4.941159706115723,3.938328820047431e-05,3.0425972938537598
1000,head,output_zeroing,0,12,-1,4.9413543128967286,4.941216506958008,2.7888293369499e-05,3.0424907207489014
1000,head,output_zeroing,0,15,-1,4.9413543128967286,4.941983070373535,-0.00012724395722149134,3.0426342487335205
1000,head,output_zeroing,1,0,-1,4.9413543128967286,4.94077018737793,0.00011821162414407016,3.046420097351074
1000,head,output_zeroing,1,3,-1,4.9413543128967286,4.940112838745117,0.0002512416784951812,3.0421249866485596
1000,head,output_zeroing,1,6,-1,4.9413543128967286,4.942826747894287,-0.0002979820721852639,3.0416109561920166
1000,head,output_zeroing,1,9,-1,4.9413543128967286,4.940991020202636,7.352087526773963e-05,3.0421383380889893
1000,head,output_zeroing,1,12,-1,4.9413543128967286,4.941708698272705,-7.171826862349786e-05,3.0454349517822266
1000,head,output_zeroing,1,15,-1,4.9413543128967286,4.9413995361328125,-9.15199219086204e-06,3.043999433517456
1000,head,output_zeroing,2,0,-1,4.9413543128967286,4.941596527099609,-4.901777681641419e-05,3.0501644611358643
1000,head,output_zeroing,2,3,-1,4.9413543128967286,4.94154634475708,-3.8862192061534044e-05,3.055460214614868
1000,head,output_zeroing,2,6,-1,4.9413543128967286,4.942857608795166,-0.00030422750591153615,3.058518409729004
1000,head,output_zeroing,2,9,-1,4.9413543128967286,4.941610202789307,-5.178537631081165e-05,3.053635597229004
1000,head,output_zeroing,2,12,-1,4.9413543128967286,4.9421736526489255,-0.00016581279145648457,3.0570924282073975
1000,head,output_zeroing,2,15,-1,4.9413543128967286,4.9416265869140625,-5.510109174388903e-05,3.0558910369873047
1000,head,output_zeroing,3,0,-1,4.9413543128967286,4.968040943145752,-0.005400671265238441,3.058673858642578
1000,head,output_zeroing,3,3,-1,4.9413543128967286,4.945987663269043,-0.0009376681126106523,3.0607988834381104
1000,head,output_zeroing,3,6,-1,4.9413543128967286,4.945286884307861,-0.0007958489033803162,3.0581040382385254
1000,head,output_zeroing,3,9,-1,4.9413543128967286,4.96608449935913,-0.0050047385587908815,3.0575661659240723
1000,head,output_zeroing,3,12,-1,4.9413543128967286,4.94276460647583,-0.0002854062853620064,3.0596916675567627
1000,head,output_zeroing,3,15,-1,4.9413543128967286,4.942292232513427,-0.00018981023365412713,3.0591912269592285
1000,head,output_zeroing,4,0,-1,4.9413543128967286,4.9433915901184085,-0.00041229126524335485,3.063145875930786
1000,head,output_zeroing,4,3,-1,4.9413543128967286,4.941451988220215,-1.9766913542574463e-05,3.063798427581787
1000,head,output_zeroing,4,6,-1,4.9413543128967286,4.941698398590088,-6.963388406719754e-05,3.061814785003662
1000,head,output_zeroing,4,9,-1,4.9413543128967286,4.96821855545044,-0.005436615318921083,3.061286211013794
