checkpoint,layer_idx,head_idx,baseline_loss,perturbed_loss,delta,elapsed_sec
2000,1,9,3.7679902362823485,3.775689287185669,-0.002043277827311077,7.108867645263672
2000,1,12,3.7679902362823485,3.768076810836792,-2.2976321331720335e-05,7.107333183288574
2000,1,15,3.7679902362823485,3.8070634269714354,-0.01036976962223715,7.119348049163818
2000,2,0,3.7679902362823485,3.769743537902832,-0.0004653147992797009,7.124702453613281
2000,2,3,3.7679902362823485,3.772951850891113,-0.0013167801129070524,7.1242148876190186
2000,2,6,3.7679902362823485,3.7678515243530275,3.681324011547371e-05,7.127373933792114
2000,2,9,3.7679902362823485,3.7681898021698,-5.2963483166639674e-05,7.126058101654053
2000,2,12,3.7679902362823485,3.7702367210388186,-0.0005962023825960119,7.128888368606567
2000,2,15,3.7679902362823485,3.7727864360809327,-0.001272880102607768,7.128340005874634
2000,3,0,3.7679902362823485,3.7669455337524416,0.00027725722849476005,7.129562854766846
2000,3,3,3.7679902362823485,3.773911256790161,-0.0015714001726433724,7.132103204727173
2000,3,6,3.7679902362823485,3.7663661098480223,0.00043103254851547027,7.1325461864471436
2000,3,9,3.7679902362823485,3.7685441970825195,-0.0001470175784525294,7.132009506225586
2000,3,12,3.7679902362823485,3.7691504192352294,-0.00030790497855046945,7.135884523391724
2000,3,15,3.7679902362823485,3.788816452026367,-0.005527141642640414,7.136926651000977
2000,4,0,3.7679902362823485,3.7681654357910155,-4.649680537384183e-05,7.1299147605896
2000,4,3,3.7679902362823485,3.770843048095703,-0.000757117623576784,7.136497974395752
2000,4,6,3.7679902362823485,3.7776588344573976,-0.002565982810132886,7.13250994682312
2000,4,9,3.7679902362823485,3.7682719230651855,-7.475783247117547e-05,7.136465311050415
2000,4,12,3.7679902362823485,3.768714437484741,-0.00019219826936361643,7.1375508308410645
2000,4,15,3.7679902362823485,3.8876137161254882,-0.03174729029053033,7.132822751998901
2000,5,0,3.7679902362823485,3.771246976852417,-0.0008643176775536282,7.135362863540649
2000,5,3,3.7679902362823485,3.7710531902313233,-0.0008128879739340452,7.134488582611084
2000,5,6,3.7679902362823485,3.776245603561401,-0.0021909205601333263,7.137462854385376
2000,5,9,3.7679902362823485,3.7821639728546144,-0.0037616171177370723,7.136176824569702
2000,5,12,3.7679902362823485,3.7685920906066896,-0.00015972820697511577,7.140012502670288
2000,5,15,3.7679902362823485,3.76845085144043,-0.00012224425468143713,7.137274742126465
2000,6,0,3.7679902362823485,3.7682693576812745,-7.407699633567351e-05,7.135541915893555
2000,6,3,3.7679902362823485,3.768475112915039,-0.00012868309159128514,7.13492226600647
2000,6,6,3.7679902362823485,3.7690972328186034,-0.00029378965093792496,7.135209321975708
2000,6,9,3.7679902362823485,3.7684780979156494,-0.0001294752912582328,7.133778095245361
2000,6,12,3.7679902362823485,3.7682532119750975,-6.979203136377707e-05,7.137462615966797
2000,6,15,3.7679902362823485,3.7707886123657226,-0.0007426707363591971,7.136782169342041
2000,7,0,3.7679902362823485,3.768295783996582,-8.109036782828516e-05,7.13718581199646
2000,7,3,3.7679902362823485,3.8144717979431153,-0.012335902894118794,7.1357505321502686
2000,7,6,3.7679902362823485,3.7681339454650877,-3.81394785356434e-05,7.138814210891724
2000,7,9,3.7679902362823485,3.7684953784942627,-0.00013406144396292707,7.137035369873047
