checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,type_a,block_noise,9,-1,42009,6.36227331161499,6.418741588592529,-0.00887548745736066,1.2152743339538574
512,type_a,block_noise,10,-1,42010,6.36227331161499,6.502749500274658,-0.022079558953120432,1.2179996967315674
512,type_a,block_noise,11,-1,42011,6.36227331161499,6.509764328002929,-0.023182125187655698,1.2199668884277344
512,type_a,block_noise,0,-1,42012,6.36227331161499,7.67020263671875,-0.20557578416444322,1.219635009765625
512,type_a,block_noise,1,-1,42013,6.36227331161499,7.07557186126709,-0.11211378617606686,1.2198231220245361
512,type_a,block_noise,2,-1,42014,6.36227331161499,6.841562690734864,-0.07533303830957423,1.2166433334350586
512,type_a,block_noise,3,-1,42015,6.36227331161499,6.696099281311035,-0.0524696053353463,1.2194421291351318
512,type_a,block_noise,4,-1,42016,6.36227331161499,6.60185791015625,-0.037657074257384286,1.2200820446014404
512,type_a,block_noise,5,-1,42017,6.36227331161499,6.505231361389161,-0.022469649254643925,1.2190556526184082
512,type_a,block_noise,6,-1,42018,6.36227331161499,6.4505801773071285,-0.013879766141282439,1.217705249786377
512,type_a,block_noise,7,-1,42019,6.36227331161499,6.396062602996826,-0.005310883347332886,1.2169885635375977
512,type_a,block_noise,8,-1,42020,6.36227331161499,6.419027996063233,-0.008920503987879797,1.2198431491851807
512,type_a,block_noise,9,-1,42021,6.36227331161499,6.45475959777832,-0.014536672920744717,1.2180726528167725
512,type_a,block_noise,10,-1,42022,6.36227331161499,6.467828350067139,-0.016590773970594313,1.2191574573516846
512,type_a,block_noise,11,-1,42023,6.36227331161499,6.496435794830322,-0.021087192681648083,1.2197532653808594
512,type_a,block_noise,0,-1,42024,6.36227331161499,7.830195350646973,-0.2307228827079998,1.2152373790740967
512,type_a,block_noise,1,-1,42025,6.36227331161499,6.984256496429444,-0.09776115459846073,1.215768575668335
512,type_a,block_noise,2,-1,42026,6.36227331161499,6.85171745300293,-0.07692912853875818,1.2173774242401123
512,type_a,block_noise,3,-1,42027,6.36227331161499,6.747764377593994,-0.060590145549901255,1.2169225215911865
