model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,2000,12,12,emergent,46.50496593401583,33.116474701488144,3.9831089973449707,3.8794102668762207,6.0588062351017866e-05
410M,2000,12,15,emergent,44.35807097995871,37.1025951525839,3.966374397277832,3.928861618041992,4.010008296904954e-05
410M,2000,13,0,emergent,41.03906697790591,32.10012846172606,3.935396671295166,3.868932008743286,8.450205456026258e-05
410M,2000,13,3,emergent,45.421046268038694,24.42603007421212,3.972641944885254,3.752084970474243,2.1063286538786617e-06
410M,2000,13,6,growing,29.718012756008807,24.184458665195105,3.7993011474609375,3.764120578765869,0.0005985988786329
410M,2000,13,9,never,41.35664328848762,33.90879091342976,3.936771869659424,3.8835666179656982,3.658249063515884e-05
410M,2000,13,12,growing,23.99051547548458,25.431611044967706,3.757223606109619,3.7740278244018555,4.278406697304809e-05
410M,2000,13,15,emergent,41.586424681984724,28.417336227768,3.9343390464782715,3.835357189178467,4.5000760673611715e-05
410M,2000,14,0,never,33.18400891522244,28.07843695707979,3.779280662536621,3.753383159637451,0.0003644981776006
410M,2000,14,3,never,46.32759371891666,29.77407246451628,3.982661724090576,3.8424930572509766,4.328892835596824e-05
410M,2000,14,6,never,46.2946869498715,31.48285110876231,3.982595205307007,3.8508379459381104,5.0944035838427094e-05
410M,2000,14,9,emergent,45.032020908636554,32.534501122651946,3.9679312705993652,3.863980770111084,4.0611988929687544e-05
410M,2000,14,12,growing,21.34927058402693,9.699029984944929,3.6016290187835693,3.2624056339263916,0.000928369637657
410M,2000,14,15,growing,45.78408621003467,33.31451843535554,3.977571487426758,3.883258819580078,1.6968038855650808e-05
410M,2000,15,0,emergent,46.394872897886216,29.563635638532087,3.9855644702911377,3.8171932697296143,6.474201484701116e-05
410M,2000,15,3,emergent,32.06174159941985,24.10511158980813,3.776822090148926,3.7584640979766846,8.909981543498518e-05
410M,2000,15,6,emergent,8.165365058877498,19.004341498872677,3.2130837440490723,3.642381191253662,0.0006455415944868
410M,2000,15,9,emergent,46.966397956098184,22.29813801753317,3.9933300018310547,3.7254862785339355,4.321143800413355e-05
410M,2000,15,12,never,46.39121365029416,32.759864230121124,3.983607769012451,3.875617742538452,6.424184984894466e-05
410M,2000,15,15,never,42.15394939869701,20.8016880114872,3.9313700199127197,3.6919922828674316,0.0001263116216545
410M,2000,16,0,emergent,46.81954595454191,27.026237357080298,3.9852023124694824,3.8042068481445312,8.533331469772792e-06
