model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,2000,1,12,growing,37.05923653100554,39.68836726582868,3.878967046737671,3.959826946258545,0.0001055582965224
410M,2000,1,15,emergent,31.004978478738057,40.28673045341703,3.7749814987182617,3.956942081451416,0.0002235526204152
410M,2000,2,0,emergent,41.24134024698924,35.54673484463656,3.9315457344055176,3.9085285663604736,0.0004168840036215
410M,2000,2,3,growing,38.32021461584451,35.335094904219105,3.8891983032226562,3.8976855278015137,0.0002410513507709
410M,2000,2,6,never,20.184579129717374,27.898934858692222,3.6526825428009033,3.8302202224731445,0.0005785147883573
410M,2000,2,9,growing,26.462170726101554,39.82088450467956,3.7949676513671875,3.9717488288879395,0.0004474973889743
410M,2000,2,12,never,18.84062695784642,30.112125810023976,3.5867128372192383,3.882505416870117,0.0002591512184014
410M,2000,2,15,never,30.996575291807037,43.370338005709634,3.824967861175537,3.9793038368225098,0.0001724606484502
410M,2000,3,0,growing,22.161858617585242,30.338097399529417,3.5698490142822266,3.887336492538452,0.0101592481207908
410M,2000,3,3,growing,35.64215153642527,27.916974063929523,3.8355703353881836,3.787637710571289,0.0008529316060668
410M,2000,3,6,growing,38.380318042483324,34.71025133635402,3.886270046234131,3.9079365730285645,0.0009590346832445
410M,2000,3,9,born,29.389962383513833,32.78339119312988,3.697535514831543,3.900074005126953,0.0059967505524616
410M,2000,3,12,emergent,27.74276801071144,37.25259041591895,3.7327632904052734,3.9548568725585938,0.000358115790442
410M,2000,3,15,never,36.60208824446435,33.349966930088364,3.8619980812072754,3.8897857666015625,3.4121584916957054e-05
410M,2000,4,0,born,33.67964753961558,28.462523905222923,3.790152072906494,3.8482017517089844,0.0022259714089533
410M,2000,4,3,emergent,38.20770913135938,46.301848412092966,3.9082796573638916,4.009871959686279,0.0002152188853061
410M,2000,4,6,growing,37.49381574173082,46.51332315395872,3.890984535217285,4.014751434326172,0.0001635915254559
410M,2000,4,9,growing,29.72288898692102,27.231134357174916,3.7357118129730225,3.8485188484191895,0.0085871426486636
410M,2000,4,12,never,40.29775161310745,35.62707407051275,3.910822629928589,3.911698341369629,0.0002867236944935
410M,2000,4,15,growing,31.570058244665905,39.287836073343016,3.76800537109375,3.944969415664673,4.7454621814314343e-05
410M,2000,5,0,emergent,42.697373599427316,37.42989721363254,3.9333980083465576,3.933643102645874,0.0001053305218519
410M,2000,5,3,growing,26.330628333607258,25.690027708510073,3.6923301219940186,3.7751340866088867,2.232191770821219e-05
410M,2000,5,6,born,26.568609288446034,31.52243373183989,3.7584147453308105,3.8647215366363525,0.0001590477730086
410M,2000,5,9,born,47.422492083799376,28.270609589800824,3.992924451828003,3.7852892875671387,9.840570223045928e-05
410M,2000,5,12,born,32.4394970220642,28.251972092958,3.741791248321533,3.824669599533081,0.006983028964851
410M,2000,5,15,growing,35.3143745983832,30.15278174576586,3.8421473503112793,3.8208014965057373,0.0014609068172696
410M,2000,6,0,emergent,37.587516326295116,29.456685264342827,3.8821630477905273,3.8380842208862305,5.624390626451548e-05
410M,2000,6,3,emergent,14.09638715632294,37.497356917799316,3.5210049152374268,3.8476104736328125,0.0021039804614605
410M,2000,6,6,never,37.56948095624548,26.11613614369148,3.86930513381958,3.7758097648620605,0.0003263259606571
410M,2000,6,9,growing,28.61482100522205,35.59826088125255,3.7838611602783203,3.913013219833374,0.0001969569923946
410M,2000,6,12,never,36.062259094060416,44.661134164115104,3.878000259399414,3.9967732429504395,0.0002013575051007
410M,2000,6,15,emergent,42.25927432735843,21.774953811710354,3.9331963062286377,3.7155282497406006,0.0003318747394855
410M,2000,7,0,emergent,45.86575762360368,44.54532639786746,3.980266571044922,3.9899868965148926,9.22557861270536e-05
410M,2000,7,3,emergent,44.56894979221542,35.87543629922518,3.9663822650909424,3.895392894744873,1.3102914034717449e-06
410M,2000,7,6,never,35.772713729609755,40.69714359700101,3.876372814178467,3.946031093597412,9.912424912903151e-05
410M,2000,7,9,emergent,22.325978917228294,15.53178538060388,3.6249442100524902,3.5949900150299072,0.0004832885387439
410M,2000,7,12,emergent,41.58497660243476,37.544873544697424,3.944157123565674,3.907989025115967,7.120893693503605e-05
410M,2000,7,15,never,33.675561380116584,36.1167434812161,3.8670406341552734,3.920501708984375,1.0052612004042972e-05
410M,2000,8,0,emergent,39.99624722497659,37.24512254108482,3.9364824295043945,3.9418210983276367,2.5517807672630047e-05
410M,2000,8,3,emergent,49.193201711685,36.360900051513426,4.0125555992126465,3.8540186882019043,0.0020645590061179
410M,2000,8,6,emergent,41.57021508704572,38.76854261534429,3.9619808197021484,3.874664783477783,0.0010569378722842
410M,2000,8,9,emergent,36.11973588159931,46.03381664879709,3.8390040397644043,3.987029552459717,2.6809313536249827e-05
410M,2000,8,12,emergent,30.56038410202584,29.40818638028238,3.793769359588623,3.8412983417510986,0.0006355101162151
410M,2000,8,15,emergent,19.742502154982503,22.886201336006774,3.681286334991455,3.7737951278686523,2.7849562804513595e-05
410M,2000,9,0,emergent,42.24444591860302,32.57316925214117,3.945441961288452,3.8303215503692627,7.52313906520656e-05
410M,2000,9,3,emergent,40.810266672865204,46.32188534193352,3.9404263496398926,4.002487659454346,0.0001095361345824
410M,2000,9,6,growing,41.0634125015272,34.09920226281809,3.9079959392547607,3.8013997077941895,0.0021019140520788
410M,2000,9,9,growing,47.64749561776099,44.999470674963455,3.9998459815979004,3.9854726791381836,3.217023696696645e-06
410M,2000,9,12,growing,38.5264529170419,48.07985506739712,3.920504570007324,4.02220344543457,3.721415441197041e-05
410M,2000,9,15,emergent,17.956356923209672,23.7974640275543,3.4643139839172363,3.779867172241211,0.002318652217919
410M,2000,10,0,never,48.05850154416177,36.223373596158815,3.9988179206848145,3.8494021892547607,0.0008012150149026
410M,2000,10,3,growing,43.40368831056973,38.54673414562073,3.9375104904174805,3.840798854827881,0.0023263331555188
410M,2000,10,6,emergent,44.48873156066968,27.92713747448335,3.962805986404419,3.8093128204345703,5.0258363634705144e-05
410M,2000,10,9,never,44.65434794397664,35.02116768073102,3.9650821685791016,3.7751400470733643,0.0014755102262985
410M,2000,10,12,emergent,44.96249832400912,45.43832596664732,3.9733729362487793,4.005860805511475,1.2492383990622051e-06
410M,2000,10,15,emergent,44.49604339537936,44.09470461213101,3.965768814086914,3.9862074851989746,4.1422115335092785e-05
410M,2000,11,0,emergent,45.924741634627736,32.67657257371674,3.9803154468536377,3.8809351921081543,1.887946753372935e-06
410M,2000,11,3,emergent,11.407199135946737,25.918599544029817,3.411243200302124,3.796031951904297,0.0005869095764709
410M,2000,11,6,never,42.83822944940448,29.257361161133137,3.928485870361328,3.7609758377075195,0.0007210735537763
410M,2000,11,9,emergent,43.477045031183636,25.8984308943883,3.943729877471924,3.7963175773620605,0.000132844293132
410M,2000,11,12,emergent,34.838101768120666,25.72924050886939,3.844038963317871,3.804473638534546,0.0003199881891554
410M,2000,11,15,emergent,45.59772846725054,43.523813745414515,3.976116418838501,3.985557794570923,1.0782899864968011e-05
410M,2000,12,0,emergent,42.65044843868225,33.27148989966621,3.944705009460449,3.8843131065368652,0.0001578337574968
410M,2000,12,3,never,28.930383113371228,31.778145423655925,3.8236541748046875,3.8702855110168457,1.6061636558121538e-06
410M,2000,12,6,emergent,34.73124295058259,27.94081621362036,3.8238162994384766,3.751729965209961,0.0030237721519908
410M,2000,12,9,emergent,35.40463295394003,25.226979317050244,3.8134946823120117,3.7565410137176514,0.0005373861970824
