layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,emergent_dummy,log_abs_delta
1,3,growing,0.0023597951988318,0.08088283678619984,38.082903166858685,48.968903724326836,3.9158473014831543,3.976351737976074,1,-6.049180443866251
1,4,born,0.0107637684691538,0.8646169050443756,17.770635891801618,46.51190309219566,3.50018310546875,3.9200961589813232,0,-4.531569556089265
1,5,born,0.0026782497195248,-0.6894224902053585,35.73582971896688,28.839789524052815,3.8548474311828613,3.722344160079956,0,-5.9225917875449205
1,6,growing,0.0061036251832445,0.6351007617356214,46.819323644674164,46.767681097518086,4.013566017150879,3.9616708755493164,1,-5.098872391989464
1,7,emergent,0.0091192719890677,-1.1909914482936022,28.387330802298838,38.96022009680069,3.706688165664673,3.886143922805786,1,-4.697365303842263
1,8,born,0.0038745966210846,0.6305687962516735,26.10087670682769,48.871063103097406,3.7668631076812744,3.975353956222534,0,-5.553313719379997
1,9,growing,0.0037207343420921,1.1594946777147646,42.25990534743046,47.03465942083451,3.958594799041748,3.955287456512451,1,-5.593834226390447
1,10,born,0.007902375153645,-0.1705740033498145,50.916812135639134,49.62665561472375,4.0423359870910645,3.988691806793213,0,-4.840591912335899
1,11,growing,0.0038797362306988,1.0830510572462009,48.33541558675733,49.498006336776726,4.022458076477051,3.9907584190368652,1,-5.551988109436481
2,0,growing,0.00709393412189,0.3311169684978784,48.810593767527706,49.79679505669122,4.026434898376465,4.000658988952637,1,-4.948515209128577
2,1,born,0.0057088957942223,0.7078086681651086,47.04747818538221,49.62855120001321,4.013889789581299,3.9932713508605957,0,-5.165729655061626
2,2,growing,0.003607855701375,0.7467363005888166,49.61589252918053,49.0530837081625,4.035106658935547,3.987539291381836,1,-5.624641671657209
2,3,born,0.0068188558652386,-0.12695218017060889,46.96231430964495,46.61760731168031,4.009315490722656,3.93062686920166,0,-4.9880635828955535
2,4,growing,0.0025587658441684,-0.050409697821894514,27.819726306538087,44.615555361745,3.73960542678833,3.9646923542022705,1,-5.968230228856154
2,5,growing,0.0063958572059057,-0.2606071566500572,45.11877466549459,47.513043422195096,4.001607418060303,3.9439492225646973,1,-5.052104809790339
2,6,born,0.0053529473536406,0.3827849228578974,48.3784916437467,50.05184694004329,4.011910438537598,3.9933342933654785,0,-5.230107962545354
2,7,growing,0.0011720719555437,-0.0894580846478547,37.78844103126027,25.573517695441943,3.881890296936035,3.6737756729125977,1,-6.7489821941968415
2,8,growing,0.0089345692175251,0.08517596235794574,29.2082699333416,43.29840128023158,3.7619028091430664,3.9507153034210205,1,-4.71782734445691
2,9,growing,0.0045992674023701,-0.7907632103860996,52.02173441748989,50.90673860236312,4.05539083480835,4.012118339538574,1,-5.381858248524691
2,10,growing,0.0064104028964356,-1.221031259191565,42.766836277449215,41.64842883845392,3.9512381553649902,3.915602207183838,1,-5.049833155666683
2,11,born,0.005653431667304,-0.4068306921757195,52.49804919788763,48.229501604154954,4.054874897003174,3.981966495513916,0,-5.175492543457103
3,0,born,0.1089602199233567,-0.16410011930549465,32.482045550047026,25.79299242693453,3.6989896297454834,3.746614456176758,0,-2.2167724181968054
3,1,born,0.0103567215932182,0.9208250977164972,42.88210992821594,42.61844818235687,3.9519152641296387,3.924252510070801,0,-4.5701195407622635
3,2,born,0.0065129116022554,-0.9275790097241408,51.27567132874039,46.39563403295179,4.048978805541992,3.9509897232055664,0,-5.03396867201798
3,3,emergent,0.0120023151659246,-2.005006876241888,53.42434903952482,51.435448939819416,4.061832904815674,4.019153118133545,1,-4.422655717309114
3,4,born,0.0078233391271446,-0.8737607973512023,43.330962400650186,39.662616013101484,3.950789213180542,3.9024767875671387,0,-4.850643817206685
3,5,growing,0.0034711641975802,-0.564208706615,47.63967120253282,46.37303247499835,4.009981155395508,3.959829807281494,1,-5.663265237666708
3,6,growing,0.0061143069532536,0.13160213927941813,50.6664853867303,49.77076743419393,4.037873268127441,4.002827167510986,1,-5.097123851792761
3,7,growing,0.0042945846541569,0.08019285135914242,38.53086875316571,34.40284376836214,3.901308059692383,3.818788766860962,1,-5.450400432725733
3,8,born,0.0085946207530399,-1.0834347340192916,29.8776637944266,38.092862415847925,3.6804659366607666,3.8759984970092773,0,-4.756618765258124
3,9,born,0.0082740485884518,-0.18928194594314882,53.640578204183775,46.60081026065867,4.064502716064453,3.956885814666748,0,-4.794631338534272
3,10,born,0.0089738972948437,-0.5467605077900489,37.45964337374267,30.994477565847788,3.844755172729492,3.733790397644043,0,-4.713435216240472
3,11,growing,0.0047213451788832,0.0826245757149002,29.40281253141047,19.69221137300354,3.6973700523376465,3.5988287925720215,1,-5.355661524462082
4,0,born,0.0017778740271024,-1.389779464938426,40.42300140915461,43.2531327499052,3.929673671722412,3.898651361465454,0,-6.332336995299006
4,1,growing,0.0095464010461988,-0.5288805894660705,42.20879882220607,43.35771957192927,3.9417049884796143,3.887763023376465,1,-4.65159104931791
4,2,born,0.0026178160748714,-0.6973428868588805,44.17491831212773,41.365047374218996,3.965761184692383,3.9068570137023926,0,-5.945414868022177
4,3,born,0.0036268181110329,1.4063142917181344,43.528715781032986,38.19054147201183,3.9541659355163574,3.891085624694824,0,-5.619399568537449
4,4,born,0.0071401537551778,-1.0092529222604711,42.62565756055708,40.11981768336347,3.9619741439819336,3.91298770904541,0,-4.942020968523877
4,5,born,0.011795089394721,-0.10300090829411661,41.06706859142963,40.019124208837745,3.9192988872528076,3.908282995223999,0,-4.44007198711595
4,6,born,0.0034794590115523,-0.9227655074026292,55.29503713507409,41.52773812696778,4.080588340759277,3.8525688648223877,0,-5.660878453730849
4,7,born,0.002004271987948,0.691384431236268,49.110470127370625,47.46359721207546,4.023454189300537,3.98134708404541,0,-6.212474382440046
4,8,born,0.0107319102601936,-0.7147579791324894,26.343578011797316,40.73734979255541,3.830198287963867,3.8527114391326904,0,-4.534533708343992
4,9,born,0.008517365021541,-2.720988169819431,49.344505008718244,42.014456674787134,4.020651817321777,3.92022967338562,0,-4.7656482557468545
4,10,born,0.0029247213569719,-0.6235163594377152,36.3500137619421,44.43810649384465,3.9204773902893066,3.9002599716186523,0,-5.834556065409794
4,11,born,0.0124229382086791,-1.169164373581405,34.161099101916406,39.99390423358836,3.83646559715271,3.8194148540496826,0,-4.388210659708141
5,0,growing,0.0029347340989231,0.8831818476344756,51.01990407898424,50.57475744788928,4.044717788696289,4.013173580169678,1,-5.831138426425245
5,1,born,0.0059614623906713,-0.6594919041294668,51.21549237556583,45.1573147252414,4.043931007385254,3.9410905838012695,0,-5.122439460440277
5,2,growing,0.014700882360411,0.38421730840829865,17.5437398583057,39.016654715066245,3.6876401901245117,3.8480355739593506,1,-4.21984776248109
5,3,born,0.008153206812927,2.0166244141482865,34.155711954327636,46.138765257539106,3.925062656402588,3.9703450202941895,0,-4.809343955141179
