layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,sigma_OV_max,sigma_QK_max,emergent_dummy
6,9,growing,0.001153885713901,-2.005006876241888,50.521796361846334,49.18795627210631,4.040192604064941,3.9981234073638916,0.8828914165496826,1.1026746034622192,1
6,12,never,9.992436847430664e-07,-0.8737607973512023,50.64739844431934,50.03742376672806,4.050441741943359,4.001748085021973,0.8389891386032104,0.9556522369384766,0
6,15,emergent,0.001465824528713,-0.564208706615,50.56081825550355,47.938515689011886,4.039327144622803,3.984018325805664,0.6507575511932373,1.2392771244049072,1
7,0,emergent,0.0054669017727661,0.13160213927941813,50.33727871280914,51.27600565112693,4.034781455993652,4.026381492614746,0.6119716167449951,0.7110241055488586,1
7,3,emergent,0.0013446291313165,0.08019285135914242,49.822269326309815,49.973606801664125,4.030043601989746,4.000582695007324,0.8036446571350098,0.9390921592712402,1
7,6,never,0.0002360457622872,-1.0834347340192916,46.48847241388489,48.10241853767997,4.006173133850098,3.9735054969787598,1.0125550031661987,1.0026142597198486,0
7,9,emergent,0.001914135372726,-0.18928194594314882,45.29628445771908,41.80072620492727,3.980653762817383,3.928821086883545,0.8841403722763062,1.0744906663894653,1
7,12,emergent,0.0012013481400052,-0.5467605077900489,41.56646047993891,38.80268796422101,3.9601094722747803,3.8123717308044434,0.836452066898346,1.5030745267868042,1
7,15,never,0.0002018406286328,0.0826245757149002,23.535982871836495,40.202507567460664,3.721233367919922,3.910911798477173,1.8043185472488403,1.5463100671768188,0
8,0,emergent,0.0010470952551665,-1.389779464938426,49.151243442033305,47.200812538139736,4.027347564697266,3.962717056274414,0.8914958834648132,0.9269071817398071,1
8,3,emergent,0.0011489092824814,-0.5288805894660705,45.135339180462836,44.74331728957298,3.98503041267395,3.9199228286743164,0.7967990636825562,1.5044931173324585,1
8,6,emergent,0.0049202923924211,-0.6973428868588805,29.94654179497097,33.28709790941673,3.8453094959259033,3.676011085510254,0.9840916991233826,2.07391357421875,1
8,9,emergent,0.1539929660565791,1.4063142917181344,43.23087801566864,39.58138003225627,3.988130569458008,3.8164682388305664,0.8698984384536743,2.2071340084075928,1
