layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,OV_PR_143k,QK_PR_143k,OV_en_143k,QK_en_143k,class,abs_delta_this_ckpt
11,15,51.512232453816814,42.689511132953164,4.04700231552124,3.9205946922302246,53.909924580516574,48.368472057135946,4.077059745788574,3.972512245178222,emergent,0.0002208220634189
12,0,12.309383603712952,21.800103610942358,3.2110466957092285,3.5164804458618164,13.686395850169331,29.55217139054668,3.264529228210449,3.727646827697754,emergent,0.0019003698601731
12,3,45.871435534545746,36.45282314183011,4.006526947021484,3.844008445739746,48.602038692214144,50.47678189414936,4.051917552947998,4.011069297790527,never,1.3760560524033066e-05
12,6,46.83861583240577,43.81557438533156,3.9945101737976074,3.932145118713379,53.89974552557081,49.005053724838405,4.07260799407959,3.991107940673828,emergent,0.0019437384082085
12,9,36.420876499107784,35.109641758533826,3.850703239440918,3.8068535327911377,42.468811003786506,40.10410273718027,3.94480037689209,3.876420259475708,emergent,0.0018549539351415
12,12,51.96026607278301,36.69019422253745,4.039061069488525,3.846766471862793,54.52273757472591,40.44794921364671,4.067152976989746,3.885685443878174,emergent,0.0010556901548985
12,15,45.98631480836359,32.91346868000584,3.9954702854156494,3.796962261199951,52.91926178994768,45.79446083839982,4.0694379806518555,3.975093364715576,emergent,0.0001576571416673
13,0,54.804720906022865,43.49860310685737,4.079705238342285,3.92362642288208,51.63526384170831,50.056012175488455,4.051578044891357,4.0086259841918945,emergent,0.000242283070064
13,3,45.46072046047306,29.792386387845934,3.979719400405884,3.776221513748169,56.299184956041366,50.47334189991577,4.092869758605957,4.006227016448975,emergent,0.0002238475641435
13,6,22.014742415442413,25.333842171308575,3.5993051528930664,3.6168410778045654,30.814903865656543,39.49511207861423,3.828387975692749,3.872479200363159,growing,0.0021043359963632
13,9,48.38065443313068,39.48650647587495,4.021377086639404,3.88663911819458,55.716427361711986,50.469611215730055,4.089883804321289,4.009330749511719,never,0.0001420922162535
13,12,39.498566788479316,39.494020837763856,3.9308600425720215,3.878629684448242,53.81047416612106,47.09912308548598,4.0732903480529785,3.998796224594116,growing,0.0006599996173774
13,15,30.082171925593613,39.16821787102343,3.760408401489258,3.8685479164123535,39.1225059277403,45.811512318320936,3.919487953186035,3.9401819705963135,emergent,0.0013249597193764
14,0,34.03376853769002,41.264792947211205,3.8132221698760986,3.8968474864959717,50.950537239729385,40.8903056055923,4.038501739501953,3.8769772052764897,never,0.0002962074564705
14,3,57.74944444969131,25.00748751858269,4.103316783905029,3.7413835525512695,11.945029704930498,2.478710543335416,3.5725269317626953,1.8740098476409912,never,0.000182818007632
14,6,52.22257486459049,42.86798694233052,4.061098098754883,3.926046848297119,57.37739477271131,51.84706927552879,4.104728698730469,4.028750419616699,never,7.431917743468468e-05
14,9,48.10778825189236,39.07067501184449,4.022420406341553,3.877232074737549,56.15543565029507,50.68758249019617,4.096147060394287,4.009086608886719,emergent,4.554350638759072e-05
14,12,32.518897388281246,16.04992945442078,3.764982223510742,3.44071626663208,39.51456052764601,26.00953212819759,3.915137767791748,3.720826387405395,growing,0.0012907132382843
14,15,44.25286339793822,29.553655032467663,3.973794937133789,3.759626865386963,54.5783649372635,47.04266196812038,4.082164764404297,3.969772338867187,growing,9.872366821817138e-06
15,0,53.897440277002914,45.135333237233425,4.078132629394531,3.9626827239990234,19.48369336782916,47.026602752173254,3.518770694732666,3.936986207962036,emergent,0.0002339993948877
15,3,47.74333465482468,38.71981006428602,3.9963459968566895,3.868748664855957,53.05413562175554,42.02899507907033,4.060280799865723,3.909579992294311,emergent,0.000331416873034
15,6,34.869676289936976,46.521571030958874,3.8780605792999268,3.9732840061187744,47.71504564859657,2.276440453034152,4.025864601135254,1.9841866493225095,emergent,0.0032670061557943
